Total_minutes_spent,No_of_times_visited,Total_products_purchased,Buy_Probability,Total_cart_value,User_rank
26.025,8,2,0.25,60.959999999999994,15.239999999999998
54.915333333333336,13,5,0.38461538461538464,216.12,83.12307692307692
10.063066666666666,5,1,0.2,53.24,10.648000000000001
14.423816666666665,20,2,0.1,52.480000000000004,5.248000000000001
6.134383333333333,18,2,0.1111111111111111,111.97999999999999,12.44222222222222
20.877033333333333,15,3,0.2,91.44,18.288
9.892533333333335,11,1,0.09090909090909091,52.14,4.74
8.792066666666667,28,1,0.03571428571428571,22.98,0.8207142857142857
8.717933333333333,33,5,0.15151515151515152,198.56,30.084848484848486
37.26365,23,3,0.13043478260869565,100.64,13.12695652173913
16.586966666666665,37,6,0.16216216216216217,261.52,42.40864864864865
41.347300000000004,14,1,0.07142857142857142,99.96,7.139999999999999
58.20719999999999,19,1,0.05263157894736842,44.68,2.351578947368421
27.968700000000002,23,2,0.08695652173913043,91.44,7.9513043478260865
5.617916666666667,7,1,0.14285714285714285,44.68,6.382857142857143
55.44301666666667,13,1,0.07692307692307693,44.68,3.436923076923077
10.683166666666667,15,1,0.06666666666666667,26.62,1.7746666666666666
12.023433333333333,5,1,0.2,26.62,5.324000000000001
37.779316666666666,28,1,0.03571428571428571,30.48,1.0885714285714285
17.369616666666666,13,1,0.07692307692307693,50.92,3.9169230769230774
48.2256,15,2,0.13333333333333333,60.959999999999994,8.127999999999998
0.7552666666666668,18,1,0.05555555555555555,34.35,1.9083333333333332
5.215050000000001,156,10,0.0641025641025641,462.8,29.666666666666664
44.83175000000001,17,3,0.17647058823529413,117.75,20.779411764705884
28.49566666666667,14,2,0.14285714285714285,284.28,40.61142857142857
11.439083333333334,16,2,0.125,101.84,12.73
5.197500000000001,10,1,0.1,57.84,5.784000000000001
58.067800000000005,5,1,0.2,44.68,8.936
10.275749999999999,27,5,0.18518518518518517,199.52,36.94814814814815
16.69855,3,1,0.3333333333333333,30.48,10.16
55.19696666666667,24,8,0.3333333333333333,561.88,187.29333333333332
40.39556666666667,9,3,0.3333333333333333,154.82,51.60666666666666
56.545033333333336,6,1,0.16666666666666666,41.0,6.833333333333333
35.73725,31,7,0.22580645161290322,261.72,59.098064516129035
25.351066666666668,31,1,0.03225806451612903,30.48,0.9832258064516128
48.105716666666666,12,3,0.25,127.96000000000001,31.990000000000002
13.780583333333334,4,1,0.25,50.92,12.73
3.4255666666666666,6,1,0.16666666666666666,34.35,5.725
39.441050000000004,21,1,0.047619047619047616,52.26,2.4885714285714284
56.2065,20,3,0.15,535.48,80.322
58.206183333333335,4,1,0.25,52.14,13.035
35.66761666666666,3,1,0.3333333333333333,129.98,43.32666666666666
19.226766666666666,10,1,0.1,32.0,3.2
6.010433333333333,6,1,0.16666666666666666,55.0,9.166666666666666
50.70698333333333,20,3,0.15,91.44,13.716
27.458900000000003,9,2,0.2222222222222222,60.96,13.546666666666667
21.562383333333333,24,3,0.125,117.18,14.6475
11.916633333333333,23,1,0.043478260869565216,52.14,2.2669565217391305
15.542033333333334,14,1,0.07142857142857142,55.86,3.9899999999999998
43.51498333333333,3,1,0.3333333333333333,30.48,10.16
33.79128333333333,11,1,0.09090909090909091,52.14,4.74
16.428683333333332,43,1,0.023255813953488372,219.5,5.104651162790698
22.18501666666667,12,1,0.08333333333333333,32.74,2.7283333333333335
58.390883333333335,25,2,0.08,89.36,7.1488000000000005
0.7105166666666667,2,5,2.5,233.96,584.9
54.73585,12,3,0.25,91.44,22.86
47.601816666666664,18,1,0.05555555555555555,25.48,1.4155555555555555
40.86391666666667,5,2,0.4,63.959999999999994,25.584
39.563183333333335,277,22,0.07942238267148015,1585.74,125.94324909747293
44.762100000000004,5,2,0.4,60.959999999999994,24.384
39.622166666666665,46,1,0.021739130434782608,44.68,0.9713043478260869
14.802833333333332,8,1,0.125,117.0,14.625
20.291333333333334,13,2,0.15384615384615385,101.84,15.66769230769231
17.323966666666667,60,2,0.03333333333333333,45.96,1.532
20.831316666666666,2,1,0.5,30.48,15.24
26.09146666666667,30,1,0.03333333333333333,71.4,2.3800000000000003
43.60116666666667,55,3,0.05454545454545454,183.7,10.02
3.7066500000000002,5,1,0.2,94.96,18.992
40.28385,28,2,0.07142857142857142,51.94,3.7099999999999995
3.0645499999999997,3,1,0.3333333333333333,42.98,14.326666666666664
58.13693333333333,11,2,0.18181818181818182,89.36,16.247272727272726
14.136750000000001,9,2,0.2222222222222222,84.06,18.68
45.382666666666665,43,5,0.11627906976744186,225.48,26.21860465116279
13.2528,11,3,0.2727272727272727,91.44,24.938181818181814
16.686533333333333,21,3,0.14285714285714285,132.27,18.895714285714288
9.856383333333333,5,2,0.4,107.96,43.184
51.011316666666666,7,1,0.14285714285714285,26.62,3.802857142857143
6.30595,6,1,0.16666666666666666,82.0,13.666666666666666
26.73913333333333,43,4,0.09302325581395349,127.33,11.844651162790697
54.20956666666667,25,4,0.16,121.91999999999999,19.507199999999997
0.61605,21,1,0.047619047619047616,28.92,1.3771428571428572
13.625266666666667,44,2,0.045454545454545456,77.54,3.524545454545455
6.227033333333334,9,2,0.2222222222222222,239.88,53.306666666666665
16.041150000000002,96,2,0.020833333333333332,25.96,0.5408333333333333
